,title,price
114,"Xiaomi Redmi Note 11s 5G (6GB RAM + 128GB ROM) 6.6"" FHD+ DotDisplay | MediaTek Dimensity 810 with 5G | 33W Pro fast charging | 50MP AI triple camera | 5000mAh battery | 90Hz 1 Year Warranty By Xiaomi Malaysia",RM898.00
115,Redmi Note 11S (8GB+128GB) Smartphones - 1 Year Local Official Warranty,RM928.00
116,REDMI Note 11 Pro (8GB+128GB) Polar White UM,"RM1,149.00"
117,[New] Redmi A1 4G LTE (2GB/32GB) | 1 Year Warranty by Xiaomi Malaysia,RM359.00
118,Aihome Redmi A1 5000 mAh large battery MediaTek Helio A22 processor 8MP Dual camera,RM359.00
119,💎Redmi 9A💎2GB+32GB💎Original Redmi💎FREE GIFT🎁,RM365.00
120,REDMI 2 4G ORIGINAL USED (99% NEW)-FULL SET BOX,RM92.15
121,XIAOMI REDMI NOTE 11 PRO 4G PM DULU CHEAPEST ANSURAN/INSTALLMENT PLAN,RM62.00
122,Redmi Note 4 3+64 98% new (original used)-FULL SET BOX,RM92.15
123,MOST DEAL !!!!!! IMPORT SET REDMI NOTE 11 ( 4 + 64 GB ),RM260.00
124,Redmi 9 4GB + 128GB *Brand New in Box* Xiaomi,RM590.00
125,REDMI NOTE 9S 8GB 100% ORIGINAL USED,RM499.00
126,***ORIGINAL MY SET WARRANTY*** REDMI 9A 2 RAM + 32 GB with VARIOUS FREE GIFT,RM369.00
127,Xiaomi Redmi 10C [Snapdragon 680 | 50MP Camera | 5000mAh Battery | 4GB RAM | 64GB ROM],RM559.00
128,Redmi 10 (4+64GB/6+128GB) |50MP AI Quad Camera |90Hz FHD+ Display |1 Year Malaysia Xiaomi Warranty |Ready Stock,RM649.00
129,[Ready Stock] Xiaomi Redmi Note 11T Pro / Note 11T Pro+ Plus MedieTek 8100 144Hz (ETA: 2022-06-11),"RM1,135.00"
130,@@PROMOSI 2022@@ 5G REDMI NOTE 11T PRO (10GB/512GB) IMPORT NEW SET,RM218.00
131,(FREE AIRDOTS) REDMI NOTE 10 PRO 8GB RAM 128GB ROM,RM999.00
132,REDMI NOTE 10 PRO(8+128)1YEAR Warranty XIAOMI Malaysia,"RM1,199.00"
133,Redmi Note 4 3+64 98% new (original )-FULL SET BOX,RM259.00
